code,description,base_fee,profession
72001,"Infra-red, Radiant heat, Wax therapy Hot packs",67.3,physiotherapy
72005,Ultraviolet light,134.6,physiotherapy
72006,Laser beam,201.8,physiotherapy
72007,Cryotherapy,67.3,physiotherapy
72103,"Galvanism, Diodynamic current, Tens.",134.6,physiotherapy
72105,Muscle and nerve stimulating currents.,161.5,physiotherapy
72107,Interferential Therapy.,134.6,physiotherapy
72201,Shortwave diathermy.,81.1,physiotherapy
72203,Ultrasound.,134.6,physiotherapy
72204,Extracorporeal Shockwave Therapy,269.1,physiotherapy
72205,Microwave.,81.1,physiotherapy
72300,Vibration,134.6,physiotherapy
72301,Percussion,216.6,physiotherapy
72302,Massage,134.6,physiotherapy
72303,"Myofacial release/soft tissue mobilisation, one or more body parts",270.3,physiotherapy
72304,Acupuncture,201.8,physiotherapy
72305,Re-education of movement/Exercises (excluding ante- and post-natal exercises),134.6,physiotherapy
72307,Pre- and post-operative exercises and/or breathing exercises,134.6,physiotherapy
72308,Group exercises (excluding ante- and post-natal exercises - maximum of 10 in a group),134.6,physiotherapy
72309,Isokinetic treatment.,134.6,physiotherapy
72310,Neural tissue mobilisation,269.1,physiotherapy
72313,Ante and post natal exercises/counselling,134.6,physiotherapy
72314,Lymph drainage,67.3,physiotherapy
72315,Postural drainage.,134.6,physiotherapy
72317,Traction.,134.6,physiotherapy
72318,Upper respiratory nebulisation and/or lavage,134.6,physiotherapy
72319,Nebulisation,134.6,physiotherapy
72321,Intermittent positive pressure ventilation.,134.6,physiotherapy
72323,Suction: Level 1 (including sputum specimen taken by suction),67.3,physiotherapy
72325,Suction: Level 2 (Suction with involvement of lavage as a treatment in a special unit situation or in the respiratory compromised patient),270.3,physiotherapy
72327,Bagging (used on the intubated unconscious patient or in the severely respiratory distressed patient).,67.3,physiotherapy
72328,Dry needling,201.8,physiotherapy
72401,Spinal.,201.8,physiotherapy
72402,Pre meditated manipulation,134.6,physiotherapy
72405,All other joints.,201.8,physiotherapy
72407,Immobilisation (excluding materials). Rule 008 does not apply.,201.8,physiotherapy
72501,Rehabilitation where the pathology requires the undivided attention of the physiotherapist. Rule 008 does not apply. Duration: 30min.,336.4,physiotherapy
72502,Hydrotherapy where the pathology requires the undivided attention of the physiotherapist. Rule 008 does not apply. Duration: 30min.,336.4,physiotherapy
72503,Rehabilitation for Central Nervous System disorders - condition to be clearly stated and fully documented (No other treatment modality may be charged in conjunction with this). Duration: 60min.,740,physiotherapy
72504,EMG Biofeedback treatment,201.8,physiotherapy
72505,"Group rehabilitation. Treatment of a patient with disabling pathology in an appropriate facility requiring specific equipment and supervision, without individual attention for the whole treatment session, no charge may be levied by facility",199.1,physiotherapy
72506,Stress management,269.1,physiotherapy
72507,Respiratory Re-education and Training. Duration: 30min.,201.8,physiotherapy
72509,"Rehabilitation. Each additional full 15 mins. Where the pathology requires the undivided attention of the physiotherapist. (Rule 0008 does not apply.)  Can only be used with codes 501, 502, 507 or 503 to indicate the completion of an additional 15 minutes. A maximum of two instances of this code may be charged per session.",201.8,physiotherapy
72701,Evaluation/counselling at the first visit only (to be fully documented),201.8,physiotherapy
72702,Complex evaluation/counselling at the first visit only (to be fully documented).,403.7,physiotherapy
72703,One complete re-assessment of a patient's condition during the course of treatment. To be used only once per episode of care.,201.8,physiotherapy
72704,Lung function: Peak flow (once per treatment).,67.3,physiotherapy
72705,Computerised/Electronic test for lung pathology,201.8,physiotherapy
72706,"Reports. To be used to motivate for therapy and/or give a progress report and/or a pre-authorisation report, where such a report is specifically required by the medical scheme.",201.8,physiotherapy
72707,Physical Performance test. Must be fully documented.,269.1,physiotherapy
72708,"Interview, guidance or consultation with the patient or his family. To be used only once per episode of care.",201.8,physiotherapy
72801,Electrical test for diagnostic purposes (including IT curve and Isokinetic tests) for a specific medical condition,470.9,physiotherapy
72803,Effort test - multistage treadmill.,470.9,physiotherapy
72901,Treatment at a nursing home : Relevant fee plus (to be charged only once per day and not with every hospital visit,134.6,physiotherapy
72903,Domicilliary treatments : Relevant fee plus.,269.1,physiotherapy
72937,Bird or equivalent freestanding nebuliser excluding oxygen at hospital per day.,134.6,physiotherapy
72938,Bird or equivalent freestanding nebuliser excluding oxygen domicilliary per day.,134.6,physiotherapy
61001,Hip abduction cushion,0.00,occupational therapy
61002,Sponge on a stick,0.00,occupational therapy
61003,Hand grips (for utensils),0.00,occupational therapy
61004,Bath bench,0.00,occupational therapy
61005,Bath seat,0.00,occupational therapy
61006,Transfer board,0.00,occupational therapy
61007,Plate surround,0.00,occupational therapy
61008,Wheelchair strap,0.00,occupational therapy
66107,"Appointment not kept (schemes will not necessarily grant benefits in respect of this item, it will fall into the ""By arrangement with the scheme"" or ""Patient own account"" category).",0.00,occupational therapy
66108,"Interview, guidance or consultation: 30 minute duration.",300.30,occupational therapy
66109,"Interview, guidance or consultation. Each additional 15 mins. A maximum of four instances of this code may be charged per session.",150.50,occupational therapy
66110,"Reports. To be used to motivate for therapy and/or give a progress report and/or a pre-authorisation report, where such a report is specifically required by the medical scheme.",233.40,occupational therapy
66111,Report Writing,0.00,occupational therapy
66201,Observation and screening.,106.10,occupational therapy
66203,Specific evaluation for a single aspect of dysfunction (Specify which aspect).,106.10,occupational therapy
66205,Specific evaluation of dysfunction involving one part of the body for a specific functional problem (Specify part and aspects evaluated),318.10,occupational therapy
66207,Specific evaluation for dysfunction involving the whole body (Specify condition and which aspects evaluated).,636.00,occupational therapy
66209,Specific in depth evaluation of certain functions affecting the total person (Specify the aspects assessed).,1060.00,occupational therapy
66211,Comprehensive in depth evaluation of the total person (Specify aspects assessed),1484.20,occupational therapy
66213,A static orthosis.,106.10,occupational therapy
66217,A pressure garment for one limb.,106.10,occupational therapy
66219,A pressure garment for one hand.,106.10,occupational therapy
66221,A pressure garment for the trunk.,106.10,occupational therapy
